,index,description_spec,description_piping,weight_spec,weight_piping,bolt_length_spec,bolt_length_piping,sch_piping,rating_piping
282,"CS2SA1 SW 3/4""  -","Flange, ASTM A105, Socketweld Flange, ASME B16.5, RF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF",0.0,0.9,-,-,-,150
283,"CS2SA1 SW 3/4""  BTY","Flange, ASTM A105, Socketweld Flange, ASME B16.5, RF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF",0.0,0.9,-,-,-,150
284,"CS2SA1 SW 3/4""  F8","Flange, ASTM A105, Socketweld Flange, ASME B16.5, RF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF",0.0,0.9,-,-,-,150
285,"CS2SA1 NIP 3/4"" x100mm -","ASTM A53 Gr.B, Seamless, Nipple, L = 100mm, ASME B36.10, PE","NIPPLE, SMLS, CS, ASTM A106 GR B, ASME B36.10, PE, SCH 80 L= 100 mm",0.0,0.22,-,-,80,-
286,"CS2SA1 GAS 3/4""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.035,-,-,-,150
287,"CS2SA1 GAS 3/4""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.035,-,-,-,150
288,"CS2SA1 GAS 3/4""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.035,-,-,-,150
289,"CS2SA1 CPL 1""  -","Full coupling, ASME B16.11, SW Ends, ASTM A105.","COUPLING, CS, ASTM A105, ASME B16.11, SW, CLASS 3000",0.0,0.22,-,-,-,3000
290,"CS2SA1 NIP 1"" x100mm -","ASTM A53 Gr.B, Seamless, Nipple, L = 100mm, ASME B36.10, PE","NIPPLE, SMLS, CS, ASTM A106 GR B, ASME B36.10, PE, SCH 80 L= 100 mm",0.0,0.324,-,-,80,-
291,"CS2SA1 RTE 1"" x3/4"" -","ASTM A105, Reducing tee, ASME B16.11, SW Ends,","REDUCING TEE, CS, ASTM A105, ASME B16.11, SW, CLASS 3000",0.0,0.53,-,-,-,3000
292,"CS2SA1 TEE 1""  -","ASTM A105, Equal tee, ASME B16.11, SW Ends","STRAIGHT TEE, CS, ASTM A105, ASME B16.11, SW, CLASS 3000",0.0,0.53,-,-,-,3000
293,"CS2SA1 PE 1""  -","Pipe, ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, PE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, PE, SCH 80",0.0,3.24,-,-,80,-
294,"CS2SA1 BOLT 7/8"" x125mm (10"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.592,69.85,125.0,-,-
295,"CS2SA1 BOLT 7/8"" x0mm (10"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,69.85,0.0,-,-
296,"CS2SA1 BOLT 7/8"" x145mm (10"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.643,69.85,145.0,-,-
297,"CS2SA1 WNK 10""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,23.57,-,-,30,150
298,"CS2SA1 WNK 10""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,23.57,-,-,30,150
299,"CS2SA1 WNK 10""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,23.57,-,-,30,150
300,"CS2SA1 TEE 10""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30",0.0,36.77,-,-,30,-
301,"CS2SA1 GAS 10""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.598,-,-,-,150
302,"CS2SA1 GAS 10""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.598,-,-,-,150
303,"CS2SA1 GAS 10""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.598,-,-,-,150
304,"CS2SA1 BE 10""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 30",0.0,51.01,-,-,30,-
311,"CS2SA1 CHS 10""  -","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,266.0,-,-,-,-
312,"CS2SA1 CHS 10""  BTY","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,266.0,-,-,-,-
313,"CS2SA1 CHS 10""  F8","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,266.0,-,-,-,-
328,"CS2SA1 BOLT 1-1/4"" x190mm (24"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,1.721,107.95,190.0,-,-
329,"CS2SA1 BOLT 1-3/8"" x0mm (24"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,107.95,0.0,-,-
330,"CS2SA1 BOLT 1-3/8"" x220mm (24"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,2.36,107.95,220.0,-,-
340,"CS2SA1 CHS 24""  -","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,1580.0,-,-,-,-
341,"CS2SA1 CHS 24""  BTY","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,1580.0,-,-,-,-
342,"CS2SA1 CHS 24""  F8","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,1580.0,-,-,-,-
343,"CS2SA1 WNK 24""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,129.5,-,-,30,150
344,"CS2SA1 WNK 24""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,129.5,-,-,30,150
345,"CS2SA1 WNK 24""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,129.5,-,-,30,150
346,"CS2SA1 TEE 24""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30",0.0,443.55,-,-,30,-
347,"CS2SA1 WOL 24"" x10"" -","ASTM A105, Weldolet, MSS SP-97, BW Ends","WELDOLET, CS, ASTM A105, MSS SP-97, BW, SCH 30",0.0,17.69,-,-,30,-
348,"CS2SA1 GAS 24""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,2.216,-,-,-,150
349,"CS2SA1 GAS 24""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,2.216,-,-,-,150
350,"CS2SA1 GAS 24""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,2.216,-,-,-,150
354,"CS2SA1 BE 24""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 30",0.0,209.65,-,-,30,-
382,"CS2SA1 BOLT 5/8"" x90mm (2"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.222,50.8,90.0,-,-
383,"CS2SA1 BOLT 5/8"" x0mm (2"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,50.8,0.0,-,-
384,"CS2SA1 BOLT 5/8"" x100mm (2"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.235,50.8,100.0,-,-
388,"CS2SA1 90L 3/4""  -","ASTM A105, 90 Degree elbow, ASME B16.11, SW End","ELBOW 90 DEG, CS, ASTM A105, ASME B16.11, SW, CLASS 3000",0.0,0.24,-,-,-,3000
390,"CS2SA1 CPL 3/4""  -","Full coupling, ASME B16.11, SW Ends, ASTM A105.","COUPLING, CS, ASTM A105, ASME B16.11, SW, CLASS 3000",0.0,0.14,-,-,-,3000
395,"CS2SA1 TEE 3/4""  -","ASTM A105, Equal tee, ASME B16.11, SW Ends","STRAIGHT TEE, CS, ASTM A105, ASME B16.11, SW, CLASS 3000",0.0,0.33,-,-,-,3000
411,"CS2SA1 BAL 2""  -","Ball valve, CL150, RF, API 608, ASTM A216 Gr.WCB, red. port, 2 or 3 pc, end entry, firesafe, ASTM-A105, AISI 316 ball, AISI 316 Stem","BALL VALVE FL, FB, LP, FLOATING BALL, API 608, A216 GR WCB, CL 150, RF, B16.5, SS316 BALL, SS316 STEM, 2 OR 3 PCS SPLIT BODY SIDE ENTRY, SPW SS304/GRAPH, API 607, LO",0.0,15.0,-,-,-,-
412,"CS2SA1 BAL 2""  BTY","Ball valve, CL150, RF, API 608, ASTM A216 Gr.WCB, red. port, 2 or 3 pc, end entry, firesafe, ASTM-A105, AISI 316 ball, AISI 316 Stem","BALL VALVE FL, FB, LP, FLOATING BALL, API 608, A216 GR WCB, CL 150, RF, B16.5, SS316 BALL, SS316 STEM, 2 OR 3 PCS SPLIT BODY SIDE ENTRY, SPW SS304/GRAPH, API 607, LO",0.0,15.0,-,-,-,-
413,"CS2SA1 BAL 2""  F8","Ball valve, CL150, RF, API 608, ASTM A216 Gr.WCB, red. port, 2 or 3 pc, end entry, firesafe, ASTM-A105, AISI 316 ball, AISI 316 Stem","BALL VALVE FL, FB, LP, FLOATING BALL, API 608, A216 GR WCB, CL 150, RF, B16.5, SS316 BALL, SS316 STEM, 2 OR 3 PCS SPLIT BODY SIDE ENTRY, SPW SS304/GRAPH, API 607, LO",0.0,15.0,-,-,-,-
414,"CS2SA1 WNK 2""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,2.55,-,-,40,150
415,"CS2SA1 WNK 2""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,2.55,-,-,40,150
416,"CS2SA1 WNK 2""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,2.55,-,-,40,150
417,"CS2SA1 GAS 2""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.097,-,-,-,150
418,"CS2SA1 GAS 2""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.097,-,-,-,150
419,"CS2SA1 GAS 2""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.097,-,-,-,150
423,"CS2SA1 BE 2""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40",0.0,5.44,-,-,40,-
424,"CS2SA1 90L 10""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30",0.0,31.3,-,-,30,-
438,"CS2SA1 45L 24""  -","ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30",0.0,159.35,-,-,30,-
439,"CS2SA1 90L 24""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30",0.0,318.7,-,-,30,-
443,"CS2SA1 SOL 24"" x3/4"" -","ASTM A105, Sockolet, MSS SP-97, SW Ends","SOCKOLET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000",0.0,0.15,-,-,-,3000
446,"CS2SA1 WOL 24"" x2"" -","ASTM A105, Weldolet, MSS SP-97, BW Ends","WELDOLET, CS, ASTM A105, MSS SP-97, BW, SCH 40",0.0,0.79,-,-,40,-
447,"CS2SA1 WOL 24"" x4"" -","ASTM A105, Weldolet, MSS SP-97, BW Ends","WELDOLET, CS, ASTM A105, MSS SP-97, BW, SCH 40",0.0,2.86,-,-,40,-
455,"CS2SA1 BOLT 5/8"" x100mm (3"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.235,57.15,100.0,-,-
456,"CS2SA1 BOLT 5/8"" x0mm (3"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,57.15,0.0,-,-
457,"CS2SA1 BOLT 5/8"" x110mm (3"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.248,57.15,110.0,-,-
458,"CS2SA1 90L 3""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40",0.0,2.03,-,-,40,-
459,"CS2SA1 WNK 3""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,4.97,-,-,40,150
460,"CS2SA1 WNK 3""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,4.97,-,-,40,150
461,"CS2SA1 WNK 3""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,4.97,-,-,40,150
462,"CS2SA1 GAT 3""  -","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,34.0,-,-,-,-
463,"CS2SA1 GAT 3""  BTY","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,34.0,-,-,-,-
464,"CS2SA1 GAT 3""  F8","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,34.0,-,-,-,-
465,"CS2SA1 GAS 3""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.148,-,-,-,150
466,"CS2SA1 GAS 3""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.148,-,-,-,150
467,"CS2SA1 GAS 3""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.148,-,-,-,150
468,"CS2SA1 BE 3""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40",0.0,11.29,-,-,40,-
469,"CS2SA1 WOL 24"" x3"" -","ASTM A105, Weldolet, MSS SP-97, BW Ends","WELDOLET, CS, ASTM A105, MSS SP-97, BW, SCH 40",0.0,1.81,-,-,40,-
470,"CS2SA1 BOLT 5/8"" x100mm (4"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.235,57.15,100.0,-,-
471,"CS2SA1 BOLT 5/8"" x0mm (4"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,57.15,0.0,-,-
472,"CS2SA1 BOLT 5/8"" x115mm (4"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.254,57.15,115.0,-,-
476,"CS2SA1 90L 4""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40",0.0,3.9,-,-,40,-
477,"CS2SA1 BAL 4""  -","Ball valve, CL150, RF, API 608, ASTM A216 Gr.WCB, red port, 2 or 3 pc, end entry, firesafe, ASTM-A105 + ENP (3mils to ASTM B733) Ball, AISI 316 ball, AISI 410 Stem,LO","BALL VALVE FL, FB, LP, FLOATING BALL, API 608, A216 GR WCB, CL 150, RF, B16.5, A105 + ENP BALL, SS410 STEM, 2 OR 3 PCS SPLIT BODY SIDE ENTRY, SPW SS304/GRAPH, API 607, LO",0.0,45.0,-,-,-,-
478,"CS2SA1 BAL 4""  BTY","Ball valve, CL150, RF, API 608, ASTM A216 Gr.WCB, red port, 2 or 3 pc, end entry, firesafe, ASTM-A105 + ENP (3mils to ASTM B733) Ball, AISI 316 ball, AISI 410 Stem,LO","BALL VALVE FL, FB, LP, FLOATING BALL, API 608, A216 GR WCB, CL 150, RF, B16.5, A105 + ENP BALL, SS410 STEM, 2 OR 3 PCS SPLIT BODY SIDE ENTRY, SPW SS304/GRAPH, API 607, LO",0.0,45.0,-,-,-,-
479,"CS2SA1 BAL 4""  F8","Ball valve, CL150, RF, API 608, ASTM A216 Gr.WCB, red port, 2 or 3 pc, end entry, firesafe, ASTM-A105 + ENP (3mils to ASTM B733) Ball, AISI 316 ball, AISI 410 Stem,LO","BALL VALVE FL, FB, LP, FLOATING BALL, API 608, A216 GR WCB, CL 150, RF, B16.5, A105 + ENP BALL, SS410 STEM, 2 OR 3 PCS SPLIT BODY SIDE ENTRY, SPW SS304/GRAPH, API 607, LO",0.0,45.0,-,-,-,-
480,"CS2SA1 WNK 4""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,7.11,-,-,40,150
481,"CS2SA1 WNK 4""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,7.11,-,-,40,150
482,"CS2SA1 WNK 4""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,7.11,-,-,40,150
483,"CS2SA1 TEE 4""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40",0.0,8.44,-,-,40,-
484,"CS2SA1 GAS 4""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.235,-,-,-,150
485,"CS2SA1 GAS 4""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.235,-,-,-,150
